benchmark,early,late,useless,filled,issued,requested
client_001,112859,12590,370862,483504,2328493,2329281
client_002,30347,1301,30742,61116,624866,624866
client_003,20880,2366,50223,71133,746227,746267
client_004,62832,5411,110885,173852,1601005,1601089
client_005,33742,5488,68337,102017,794075,794096
client_006,169023,107736,161390,330332,1613054,1613192
client_007,164107,12828,328463,492707,2642604,2645073
client_008,39815,6863,271785,311579,1606350,1607052
server_001,90622,8719,47089,137768,910319,910643
server_003,86230,8583,184935,271356,1600877,1602163
server_004,157644,47230,1487422,1644957,6157342,6157824
server_009,81406,23044,672518,754177,2848845,2849311
server_010,29013,6452,69005,98053,474936,474977
server_011,31318,7016,71262,102634,510467,510807
server_012,28436,6264,70063,98466,477294,477415
server_013,27707,6987,68472,96249,471010,471210
server_014,3385,5175,3946,7193,994704,994749
server_016,26939,24887,50688,77650,8010712,8012247
server_017,111775,194801,103358,215131,1522306,1524004
server_018,113665,183371,199566,313102,1767648,1783630
server_019,113129,197807,99670,212828,1534504,1536681
server_020,114076,194541,151451,265467,1712486,1732819
server_021,118906,199166,207445,326325,2062344,2143149
server_022,117847,197282,96015,213868,1540282,1542070
server_023,58832,55330,108610,167403,1271889,1271975
server_024,57190,55066,109430,166595,1276495,1276624
server_025,40701,20556,104704,145391,1046164,1046348
server_026,52485,41249,103844,156337,1123910,1124003
server_027,41492,21916,103788,145260,1067151,1067302
server_028,251924,53450,264277,516179,1808815,1808838
server_029,254614,56414,260185,514867,1804345,1804360
server_030,277450,58074,222458,499880,1788662,1788662
server_031,56363,53871,133640,189998,965372,965375
server_032,21013,8901,110752,131777,723267,723267
server_033,22488,2306,153914,176440,735149,735182
server_034,21263,1793,145336,166535,718392,718434
server_035,24745,3269,162259,187005,738871,739339
server_037,16413,1556,37730,54133,417215,417291
server_038,14880,1913,38008,52887,414620,414642
