Benchmarks,Miss
600.perlbench_s-570B,3097
602.gcc_s-1850B,17127
602.gcc_s-2226B,77961
602.gcc_s-734B,13148
603.bwaves_s-1740B,19992
603.bwaves_s-2609B,19918
603.bwaves_s-2931B,7591
603.bwaves_s-891B,19181
605.mcf_s-1152B,1309906
605.mcf_s-1536B,1459408
605.mcf_s-1554B,1687404
605.mcf_s-1644B,838694
605.mcf_s-472B,1297983
605.mcf_s-484B,548552
605.mcf_s-665B,842110
605.mcf_s-782B,4554950
605.mcf_s-994B,1031697
607.cactuBSSN_s-2421B,77043
607.cactuBSSN_s-3477B,53505
607.cactuBSSN_s-4004B,55112
619.lbm_s-2676B,58525
619.lbm_s-2677B,77300
619.lbm_s-3766B,8481
619.lbm_s-4268B,77665
620.omnetpp_s-141B,537835
620.omnetpp_s-874B,501904
621.wrf_s-6673B,56918
621.wrf_s-8065B,28793
623.xalancbmk_s-10B,1065743
623.xalancbmk_s-165B,32406
623.xalancbmk_s-202B,43362
628.pop2_s-17B,93781
641.leela_s-1083B,1244
649.fotonik3d_s-10881B,261825
649.fotonik3d_s-1176B,7522
649.fotonik3d_s-7084B,13857
649.fotonik3d_s-8225B,7923
654.roms_s-1007B,9621
654.roms_s-1070B,21056
654.roms_s-1390B,39483
654.roms_s-1613B,5313
654.roms_s-293B,7083
654.roms_s-294B,24947
654.roms_s-523B,29311
657.xz_s-2302B,160043
