benchmark,early,late,useless,filled,issued,requested
client_001,28603,1724,141930,168460,140495,140495
client_002,7263,228,39443,45285,122220,122220
client_003,10104,288,35862,46030,65442,65442
client_004,18757,1141,57503,75409,166705,166705
client_005,13136,825,77549,90879,108397,108397
client_006,24398,8185,224749,249966,578921,580657
client_007,16596,819,71431,89510,514586,514592
client_008,42885,4325,134194,177644,869853,869853
server_001,48183,5164,127539,174969,344122,344122
server_003,52044,3540,158774,210914,328544,328544
server_004,55061,4736,179398,234475,343024,343024
server_009,68708,5912,200305,269833,424234,424234
server_010,74745,6971,219802,294459,457867,457867
server_011,76472,6729,230153,306608,466537,466558
server_012,72649,6561,214258,286853,454215,454215
server_013,77852,7099,228082,305904,463688,463688
server_014,1479,4240,13891,13438,30668,30695
server_016,11618,1429,60179,71710,248984,248984
server_017,54585,4044,426854,481449,666112,666113
server_018,54798,4166,539479,593579,525524,525525
server_019,53651,4158,422347,476068,674713,674713
server_020,62546,5097,563706,626393,394081,394082
server_021,59718,4691,499886,560030,372951,372951
server_022,53658,4175,421643,475318,673276,673276
server_023,23455,2997,127021,150582,544014,544014
server_024,25913,2742,125821,151769,533871,533871
server_025,24294,2459,123656,147930,613239,613239
server_026,31489,2740,128557,160098,603859,603859
server_027,25555,3688,112033,137495,601414,601414
server_028,28565,5814,245838,274456,1019759,1019759
server_029,30079,6125,233370,263637,1027033,1027033
server_030,28470,3557,209952,238799,1049660,1049660
server_031,18844,4614,124456,142965,724703,724703
server_032,9855,1847,77468,87156,719432,719432
server_033,49753,1705,80241,130286,550549,550549
server_034,19491,661,41751,61026,554179,554179
server_035,48805,5826,77306,125983,553880,553880
server_037,33282,682,61120,94311,305348,305348
server_038,35763,601,61469,97233,315986,315987
