benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,15,6,1,18,3159,3159
602.gcc_s-1850B,454341,166516,1033,455365,8940332,8942918
602.gcc_s-2226B,571095,1941444,8011,579113,34822254,34907602
602.gcc_s-734B,264278,1567,1096,265364,6728325,6755570
603.bwaves_s-1740B,365231,139874,0,365233,2711999,3710254
603.bwaves_s-2609B,366261,139178,0,366265,2714042,3712123
603.bwaves_s-2931B,294561,964,58,294621,3151621,3361150
603.bwaves_s-891B,505507,278417,23,505529,6827262,7914153
605.mcf_s-1152B,71238,113042,15528,86778,3065156,3065211
605.mcf_s-1536B,2763,200,19128,21905,1578582,1578582
605.mcf_s-1554B,774940,23056,21423,796373,15309870,15312470
605.mcf_s-1644B,363996,100646,6981,370971,8412542,8413017
605.mcf_s-472B,275124,8694,7284,282409,5336186,5336752
605.mcf_s-484B,132826,10608,3333,136147,2391155,2391280
605.mcf_s-665B,62783,75089,12589,75421,2053688,2053711
605.mcf_s-782B,212747,409398,56485,269264,11923375,11923698
605.mcf_s-994B,12326,5760,5269,17606,1068866,1068866
607.cactuBSSN_s-2421B,36571,1754,1457,37951,4191041,4456256
607.cactuBSSN_s-3477B,11422,541,320,11729,3701941,3865078
607.cactuBSSN_s-4004B,12463,541,533,12812,4128903,4451174
619.lbm_s-2676B,128559,105152,2,128561,3207093,3207093
619.lbm_s-2677B,145410,129335,0,145410,3630246,3630246
619.lbm_s-3766B,78427,42430,0,78426,2043487,2043487
619.lbm_s-4268B,147131,132031,6,147137,3648074,3648074
620.omnetpp_s-141B,400,253,302,705,358776,358776
620.omnetpp_s-874B,481,439,293,776,370671,370671
621.wrf_s-6673B,355843,126931,3699,359538,5159229,5848959
621.wrf_s-8065B,168223,39006,2252,170476,3079209,3338245
623.xalancbmk_s-10B,11054,14026,4127,15191,1074126,1074126
623.xalancbmk_s-165B,137197,155132,1767,138974,4368026,4368026
623.xalancbmk_s-202B,233788,166500,564,234353,9121376,9121799
628.pop2_s-17B,98329,28984,3810,102138,3190534,3356418
641.leela_s-1083B,228,1163,13,290,88584,88584
649.fotonik3d_s-10881B,306985,6338,1995,308980,2507250,2656513
649.fotonik3d_s-1176B,162838,147291,71,162908,6504844,6772043
649.fotonik3d_s-7084B,490804,22407,16042,506850,4349024,4565671
649.fotonik3d_s-8225B,167751,147602,81,167830,6492349,6776164
654.roms_s-1007B,173752,23217,1876,175626,2049569,2224812
654.roms_s-1070B,444892,64825,4278,449171,4822893,5368538
654.roms_s-1390B,576681,154636,7945,584619,8912283,9328424
654.roms_s-1613B,62222,21239,901,63136,1115392,1132503
654.roms_s-293B,160391,15839,1343,161722,2333891,2491212
654.roms_s-294B,385569,20898,6442,392020,2592646,3170012
654.roms_s-523B,514770,119019,6751,521525,7065608,7531166
657.xz_s-2302B,1308,328,38,1344,28985,28985
