benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,166,9,897,3155,1815,1815
602.gcc_s-1850B,6861,493,903972,910844,3953560,3953684
602.gcc_s-2226B,8160,4384,3627659,3635820,4347840,4347976
602.gcc_s-734B,5217,79,455745,461529,3969061,3971718
603.bwaves_s-1740B,21674,5323,879792,901269,3265317,3717516
603.bwaves_s-2609B,21435,5440,880059,901280,3254386,3712580
603.bwaves_s-2931B,29942,1502,398926,430114,1827429,1847955
603.bwaves_s-891B,2,0,1140308,1140326,2623442,2808658
605.mcf_s-1152B,111974,6716,1958683,2070891,1257328,1257359
605.mcf_s-1536B,67384,0,1620908,1687942,0,0
605.mcf_s-1554B,12154,591,9434921,9445496,167288,167293
605.mcf_s-1644B,50889,5489,1984177,2035137,2006106,2006106
605.mcf_s-472B,17769,615,2555827,2573684,847490,847490
605.mcf_s-484B,18817,169,1017981,1037388,343180,343180
605.mcf_s-665B,103962,3740,1222497,1326728,931019,931019
605.mcf_s-782B,219868,42404,6538083,6757801,4200899,4200902
605.mcf_s-994B,22810,5,1259280,1281694,306143,306143
607.cactuBSSN_s-2421B,220867,83,6132,227063,2486344,2529347
607.cactuBSSN_s-3477B,183258,2,764,184045,2295638,2334478
607.cactuBSSN_s-4004B,181212,0,763,182002,2286014,2320567
619.lbm_s-2676B,54160,15355,381917,435840,649840,649850
619.lbm_s-2677B,65643,21602,432683,498155,759584,759601
619.lbm_s-3766B,17569,846,235577,252829,353668,353668
619.lbm_s-4268B,66753,21341,431359,497991,756912,756938
620.omnetpp_s-141B,32976,2060,567336,600333,95210,95210
620.omnetpp_s-874B,41971,1364,575645,617676,85526,85526
621.wrf_s-6673B,58096,9791,884450,941554,3926669,4146960
621.wrf_s-8065B,35982,571,405625,442068,1921355,2111965
623.xalancbmk_s-10B,11734,734,1078963,1091440,40240,40240
623.xalancbmk_s-165B,1621,419,1005276,1006936,1560217,1561882
623.xalancbmk_s-202B,1828,11,1282647,1284545,1494334,1494355
628.pop2_s-17B,34173,1304,418417,452399,4035747,4170011
641.leela_s-1083B,604,3,1858,4718,103572,103572
649.fotonik3d_s-10881B,455,0,1155083,1155479,1658,1658
649.fotonik3d_s-1176B,1785,626,429851,431031,1749483,1749662
649.fotonik3d_s-7084B,2004,329,855048,857042,3357277,3756706
649.fotonik3d_s-8225B,1946,658,438236,439929,1745771,1745808
654.roms_s-1007B,24108,2585,288186,312753,976406,1036654
654.roms_s-1070B,14212,5473,765285,779544,2365424,2499034
654.roms_s-1390B,83305,6189,1100756,1183692,3694939,3805129
654.roms_s-1613B,345,598,141028,142190,339653,339656
654.roms_s-293B,18794,385,273291,291954,1679685,1708514
654.roms_s-294B,33530,904,678634,711915,2899256,3070743
654.roms_s-523B,25329,3350,978368,1003685,2623072,2671943
657.xz_s-2302B,17750,11,188464,206318,6050,6050
