benchmark,early,late,useless,filled,issued,requested
BC_74350M,1211508,119581,638508,1849786,4268257,4268258
BellmanFord_94B,656630,3261,2527458,3184071,7109208,7109208
bf_94B,656420,3245,2527648,3184060,7108352,7108352
BFS_61B,1143741,27595,1804681,2948177,6768242,6771274
canneal_44B,43535,3836,1136679,1180205,2938691,2938691
Components_70B,608106,519,4972072,5580180,13181828,13184290
MIS_85B,748369,443,3489829,4238180,10192138,10192138
pr_1B,447633,720,5447760,5895445,13549066,13551330
Radii_100B,448748,2065,3669761,4118505,9820218,9820218
sssp-5,341301,71216,1837524,2178907,5532451,5532451
tc_70B,105900,740,1141371,1247273,3102766,3102766
