benchmark,early,late,useless,filled,issued,requested
BC_74350M,50531,4903,1865847,1919285,2942618,2942618
BellmanFord_94B,148768,504,2727085,2875919,1891375,1891381
bf_94B,148551,499,2727367,2875934,1891031,1891037
BFS_61B,176001,2853,2494397,2669310,3005114,3005114
canneal_44B,2280,6,1166567,1168785,74396,74396
Components_70B,326614,16,4343802,4670603,1536334,1536340
MIS_85B,290825,20,3007200,3298244,1866581,1866581
pr_1B,203830,103,5220123,5424315,1206273,1206285
Radii_100B,261392,6,3162995,3424554,1191848,1191855
sssp-5,46648,13181,1993078,2039270,882826,883001
tc_70B,40603,10,1080648,1121318,216321,216322
