benchmark,<10,10-25,25-50,50-100,100-500,>500
600.perlbench_s-570B,2,1,12,24,28,0
602.gcc_s-1850B,484,3119,1801,1025,78,0
602.gcc_s-2226B,2321,5010,7712,12780,2167,0
602.gcc_s-734B,88,73,19,13,35,0
603.bwaves_s-1740B,600,202,94,153,943,2
603.bwaves_s-2609B,593,180,109,161,988,0
603.bwaves_s-2931B,0,0,0,0,0,0
603.bwaves_s-891B,17,40,2040,1196,526,0
605.mcf_s-1152B,16654,5706,16653,21064,66714,105
605.mcf_s-1536B,615,3082,2575,522,2625,8
605.mcf_s-1554B,77250,130904,247653,455754,859235,3262
605.mcf_s-1644B,2811,4447,5615,10668,32318,3948
605.mcf_s-472B,13755,28918,57542,118159,391391,1951
605.mcf_s-484B,4154,12117,16831,36011,116222,971
605.mcf_s-665B,8690,2892,7623,10199,37796,66
605.mcf_s-782B,67711,36200,75265,124736,388481,1130
605.mcf_s-994B,66669,17415,35162,5051,49048,16
607.cactuBSSN_s-2421B,0,1,0,0,2,0
607.cactuBSSN_s-3477B,0,0,0,0,0,0
607.cactuBSSN_s-4004B,0,0,0,0,0,0
619.lbm_s-2676B,1451,1406,981,1606,14378,7125
619.lbm_s-2677B,1840,1888,1323,2286,20059,9954
619.lbm_s-3766B,30,58,57,93,799,220
619.lbm_s-4268B,1903,1991,1336,2304,20049,10032
620.omnetpp_s-141B,399,603,400,790,8950,0
620.omnetpp_s-874B,679,971,540,966,9626,0
621.wrf_s-6673B,1742,2065,1852,2812,12358,2806
621.wrf_s-8065B,280,459,458,478,909,28
623.xalancbmk_s-10B,3006,10791,11220,10569,17587,0
623.xalancbmk_s-165B,2383,1590,4833,3759,1297,0
623.xalancbmk_s-202B,2384,1479,4325,4009,1674,0
628.pop2_s-17B,996,996,654,315,795,0
641.leela_s-1083B,472,1308,27,120,55,0
649.fotonik3d_s-10881B,932,1119,1388,2209,11654,94
649.fotonik3d_s-1176B,5,8,0,3,4029,0
649.fotonik3d_s-7084B,11,20,26,25,64,3
649.fotonik3d_s-8225B,14,7,9,5,4022,0
654.roms_s-1007B,123,135,319,453,1409,62
654.roms_s-1070B,513,819,970,1443,6534,1249
654.roms_s-1390B,1005,1239,2153,4362,15728,1262
654.roms_s-1613B,100,128,280,499,1534,66
654.roms_s-293B,10,83,31,34,121,20
654.roms_s-294B,50,100,55,27,40,0
654.roms_s-523B,544,659,769,1308,6512,321
657.xz_s-2302B,265,287,131,28,97,0
