benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,23,1,1,27,3128,3128
602.gcc_s-1850B,502823,116340,1066,503881,8906857,8909155
602.gcc_s-2226B,1534669,976373,7734,1542417,34817908,34903340
602.gcc_s-734B,265252,1021,1171,266419,6727552,6754563
603.bwaves_s-1740B,404109,105877,0,404112,2729809,3730816
603.bwaves_s-2609B,404924,106239,15,404944,2732676,3739784
603.bwaves_s-2931B,294157,266,31,294189,2920394,3209371
603.bwaves_s-891B,749054,34740,21,749075,6782604,7939618
605.mcf_s-1152B,74418,108180,15637,90065,3017283,3017355
605.mcf_s-1536B,3003,161,14712,17716,1273578,1273578
605.mcf_s-1554B,809154,22436,20966,830132,16424046,16428637
605.mcf_s-1644B,383935,92881,7446,391381,8588172,8588791
605.mcf_s-472B,283435,7707,7218,290646,5568928,5569696
605.mcf_s-484B,136819,9364,3329,140132,2468680,2468870
605.mcf_s-665B,64498,74183,12598,77136,2060096,2060107
605.mcf_s-782B,222600,401376,57759,280392,12012492,12012960
605.mcf_s-994B,12242,5609,5185,17429,1089907,1089907
607.cactuBSSN_s-2421B,11799,599,788,12786,3999879,4260632
607.cactuBSSN_s-3477B,11451,626,338,11763,3793744,3979103
607.cactuBSSN_s-4004B,11969,539,563,12372,4125302,4439346
619.lbm_s-2676B,95304,99842,2,95306,3176733,3176733
619.lbm_s-2677B,108724,124749,0,108725,3645839,3645839
619.lbm_s-3766B,65807,43092,0,65806,2124691,2124691
619.lbm_s-4268B,110824,124745,4,110829,3663680,3663680
620.omnetpp_s-141B,389,236,332,726,354640,354640
620.omnetpp_s-874B,434,331,253,686,365160,365160
621.wrf_s-6673B,425977,67760,3823,429792,5560005,6224330
621.wrf_s-8065B,236933,40638,2845,239760,3439906,3841706
623.xalancbmk_s-10B,10244,13933,4046,14293,1063174,1063174
623.xalancbmk_s-165B,173929,120370,1806,175748,4405290,4405312
623.xalancbmk_s-202B,272129,139438,555,272696,9143131,9143420
628.pop2_s-17B,117570,12656,3884,121457,3266346,3421072
641.leela_s-1083B,975,416,13,1037,88584,88584
649.fotonik3d_s-10881B,310054,2534,2002,312054,2507633,2657870
649.fotonik3d_s-1176B,304885,5832,80,304964,6464963,6754223
649.fotonik3d_s-7084B,513870,2628,16186,530064,4513774,4674540
649.fotonik3d_s-8225B,309780,6048,73,309853,6467033,6770204
654.roms_s-1007B,180311,18980,2013,182317,2015113,2210036
654.roms_s-1070B,477223,30710,4182,481405,4790106,5324779
654.roms_s-1390B,629116,108836,8020,637132,8842110,9310000
654.roms_s-1613B,71362,13941,905,72279,1123505,1140691
654.roms_s-293B,172465,4923,1401,173854,2381769,2536831
654.roms_s-294B,406991,1384,6414,413415,2680752,3225468
654.roms_s-523B,579836,42796,6876,586717,6789989,7324438
657.xz_s-2302B,1635,1,38,1671,28985,28985
