benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,19,2,1,22,3159,3159
602.gcc_s-1850B,508046,112515,1015,509052,8929520,8931999
602.gcc_s-2226B,1578482,933890,8078,1586568,34767316,34851789
602.gcc_s-734B,264708,987,1110,265812,6727691,6754969
603.bwaves_s-1740B,405704,105222,0,405707,2735537,3738728
603.bwaves_s-2609B,405337,105305,0,405339,2736644,3736030
603.bwaves_s-2931B,297817,20,22,297839,2999955,3300523
603.bwaves_s-891B,773173,7200,19,773191,6737275,7790282
605.mcf_s-1152B,76020,109710,15843,91887,3080215,3080284
605.mcf_s-1536B,2592,157,12001,14595,1038871,1038871
605.mcf_s-1554B,842375,40882,20879,863264,17731974,17738503
605.mcf_s-1644B,397733,91469,7033,404764,8723873,8724505
605.mcf_s-472B,290115,8293,6988,297095,5813649,5814589
605.mcf_s-484B,142679,6017,3243,145912,2532285,2532588
605.mcf_s-665B,64700,73472,12761,77522,2049948,2049966
605.mcf_s-782B,231595,394358,57258,288878,12103372,12103806
605.mcf_s-994B,12488,5474,5165,17658,1049222,1049222
607.cactuBSSN_s-2421B,37466,1949,1089,38477,4193974,4426168
607.cactuBSSN_s-3477B,11525,574,338,11845,3718438,3886490
607.cactuBSSN_s-4004B,12277,519,505,12594,4033802,4306171
619.lbm_s-2676B,80887,99814,2,80889,3217490,3217490
619.lbm_s-2677B,93248,122577,0,93248,3636310,3636310
619.lbm_s-3766B,58555,43702,0,58554,2282862,2282862
619.lbm_s-4268B,93369,124556,4,93373,3646080,3646080
620.omnetpp_s-141B,494,211,422,917,361562,361562
620.omnetpp_s-874B,558,397,320,879,371423,371423
621.wrf_s-6673B,442502,55985,3715,446217,5703822,6381048
621.wrf_s-8065B,198401,15843,2216,200616,3145956,3403804
623.xalancbmk_s-10B,14619,10611,4231,18855,1063343,1063343
623.xalancbmk_s-165B,197720,95478,1803,199535,4422200,4422209
623.xalancbmk_s-202B,279691,132975,577,280269,9159389,9159784
628.pop2_s-17B,119503,11359,3859,123358,3269638,3420765
641.leela_s-1083B,1028,363,13,1090,88584,88584
649.fotonik3d_s-10881B,310611,2152,2021,312629,2515378,2666125
649.fotonik3d_s-1176B,305102,5579,76,305177,6468224,6757737
649.fotonik3d_s-7084B,517592,38,16185,533791,4571494,4717783
649.fotonik3d_s-8225B,310335,5457,72,310407,6468576,6771108
654.roms_s-1007B,195530,8384,2098,197629,2057615,2244209
654.roms_s-1070B,485454,22368,4217,489671,4787015,5315699
654.roms_s-1390B,697900,58633,8092,705985,8833342,9388283
654.roms_s-1613B,80545,8630,955,81513,1145941,1159734
654.roms_s-293B,178143,416,1406,179535,2435488,2570807
654.roms_s-294B,408754,234,6448,415214,2692653,3234834
654.roms_s-523B,638467,21823,6750,645216,7304338,7824232
657.xz_s-2302B,1639,0,33,1670,29335,29335
