benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,19,2,1,22,3159,3159
602.gcc_s-1850B,496347,123510,1052,497395,8919703,8922111
602.gcc_s-2226B,1073351,1438932,8063,1081423,34785823,34870025
602.gcc_s-734B,264780,1082,1091,265862,6733476,6760868
603.bwaves_s-1740B,402751,106350,4,402754,2726377,3722985
603.bwaves_s-2609B,402886,106658,0,402888,2727617,3728844
603.bwaves_s-2931B,287818,659,57,287873,2855443,3125388
603.bwaves_s-891B,736194,61836,24,736220,6678288,7819741
605.mcf_s-1152B,73743,108035,15283,89040,3009235,3009324
605.mcf_s-1536B,2884,181,17024,19906,1285328,1285328
605.mcf_s-1554B,798083,21864,21079,819173,16039330,16043326
605.mcf_s-1644B,379133,94957,7619,386750,8529810,8530496
605.mcf_s-472B,331702,9254,8903,340612,6622985,6623769
605.mcf_s-484B,127765,10426,3220,130977,2335262,2335411
605.mcf_s-665B,64244,74305,12630,76927,2056665,2056686
605.mcf_s-782B,212226,392023,55026,267284,11620968,11621401
605.mcf_s-994B,11452,5660,5048,16504,1065721,1065721
607.cactuBSSN_s-2421B,11411,579,907,12140,4004630,4271625
607.cactuBSSN_s-3477B,11560,543,299,11839,3715118,3882244
607.cactuBSSN_s-4004B,12356,531,516,12687,4120585,4448169
619.lbm_s-2676B,115411,115377,2,115413,3381509,3381509
619.lbm_s-2677B,124502,128742,1,124503,3612365,3612365
619.lbm_s-3766B,70489,40277,1,70489,2093485,2093489
619.lbm_s-4268B,123863,129091,2,123866,3603378,3603378
620.omnetpp_s-141B,459,256,358,819,359551,359551
620.omnetpp_s-874B,402,299,266,666,363919,363919
621.wrf_s-6673B,414174,77013,3717,417890,5411750,6075954
621.wrf_s-8065B,186518,24402,2260,188779,3107440,3364847
623.xalancbmk_s-10B,9963,12983,3837,13780,1029115,1029115
623.xalancbmk_s-165B,161097,132501,1782,162893,4422519,4422523
623.xalancbmk_s-202B,269584,142728,534,270120,9158891,9159421
628.pop2_s-17B,113391,15976,3777,117175,3264770,3422214
641.leela_s-1083B,796,595,13,858,88584,88584
649.fotonik3d_s-10881B,308954,3241,1972,310923,2520693,2671056
649.fotonik3d_s-1176B,269704,40966,70,269772,6448863,6758582
649.fotonik3d_s-7084B,507163,8134,16124,523292,4466298,4644491
649.fotonik3d_s-8225B,275457,40271,81,275536,6443900,6767948
654.roms_s-1007B,136679,5168,1166,137848,1369263,1514569
654.roms_s-1070B,464336,40299,4137,468523,4703574,5246251
654.roms_s-1390B,684221,153915,8566,692782,9752608,10416529
654.roms_s-1613B,69188,15506,924,70124,1118177,1135674
654.roms_s-293B,170405,6413,1371,171756,2365373,2527053
654.roms_s-294B,406214,1630,6511,412728,2687525,3230953
654.roms_s-523B,569988,73503,6687,576668,7135146,7625852
657.xz_s-2302B,1632,4,38,1668,29004,29004
