benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,1225,121,2553,3817,163834,163834
602.gcc_s-1850B,1018600,59522,222523,1241130,7209630,7209647
602.gcc_s-2226B,1285073,2131296,307558,1592655,9946710,9946800
602.gcc_s-734B,767466,729,120401,887904,2463047,2463181
603.bwaves_s-1740B,917691,9832,4113,921793,34213221,49094256
603.bwaves_s-2609B,917882,9680,4005,921891,34306378,49153655
603.bwaves_s-2931B,442367,1611,1846,444193,3668900,4454534
603.bwaves_s-891B,1083068,57236,24,1083075,2376392,2376395
605.mcf_s-1152B,637751,147435,1811357,2449091,8812287,8812563
605.mcf_s-1536B,93888,9946,2422730,2516588,6272454,6272454
605.mcf_s-1554B,3318095,1860961,4303313,7621393,35855118,43238755
605.mcf_s-1644B,1023487,155011,1096632,2120131,5277817,5277817
605.mcf_s-472B,683671,671476,1404294,2087968,13409588,13416593
605.mcf_s-484B,317629,220799,698361,1015861,12456889,12457082
605.mcf_s-665B,495961,76260,1383047,1878971,7529556,7529786
605.mcf_s-782B,1559599,780210,4862777,6422375,16686021,16686745
605.mcf_s-994B,214635,196861,1350607,1565318,7485366,7485379
607.cactuBSSN_s-2421B,3009,4,22798,25856,57912,57912
607.cactuBSSN_s-3477B,1871,0,4893,6766,13776,13776
607.cactuBSSN_s-4004B,2100,0,3745,5844,11698,11698
619.lbm_s-2676B,330626,54842,0,330620,1048586,1066001
619.lbm_s-2677B,369387,66155,0,369389,1212869,1235872
619.lbm_s-3766B,216473,23106,0,216467,564700,568731
619.lbm_s-4268B,369258,65696,0,369257,1214311,1237917
620.omnetpp_s-141B,104248,15530,672114,776324,4362044,4362044
620.omnetpp_s-874B,107457,17247,681353,788858,4498732,4498736
621.wrf_s-6673B,910979,70064,130123,1041097,13340896,15701632
621.wrf_s-8065B,466970,15446,140000,606994,5897632,6505029
623.xalancbmk_s-10B,178037,88383,888060,1066240,3648018,3648030
623.xalancbmk_s-165B,860432,56306,92793,953230,3581399,3584172
623.xalancbmk_s-202B,1148176,62731,108187,1256360,3686214,3688790
628.pop2_s-17B,672875,13561,202703,875573,10003375,10607087
641.leela_s-1083B,55687,2911,38721,94323,2065273,2065274
649.fotonik3d_s-10881B,673290,25944,466275,1139548,5333800,5337042
649.fotonik3d_s-1176B,557928,85827,3079,561002,1320992,1320992
649.fotonik3d_s-7084B,795746,8171,57167,852889,12583922,13062011
649.fotonik3d_s-8225B,559657,84155,2931,562582,1321188,1321188
654.roms_s-1007B,239822,25055,15390,255211,3919571,4106105
654.roms_s-1070B,669106,39466,34934,704035,4843326,5148543
654.roms_s-1390B,968594,148995,65846,1034445,5885497,7443241
654.roms_s-1613B,108734,18531,9082,117801,2560340,2560892
654.roms_s-293B,345516,4358,12941,358474,2876928,2934408
654.roms_s-294B,596632,2779,55457,652098,9077960,9839475
654.roms_s-523B,797882,94219,52616,850492,4616417,5060406
657.xz_s-2302B,45129,881,333654,378775,2564773,2564773
