benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,168,9,901,3171,1834,1834
602.gcc_s-1850B,6940,427,904139,911089,4078550,4078722
602.gcc_s-2226B,8594,3961,3626764,3635354,4396131,4396155
602.gcc_s-734B,5156,63,455469,461181,3995045,3997671
603.bwaves_s-1740B,24851,2053,879703,904356,4167099,4510872
603.bwaves_s-2609B,24957,2020,879778,904520,4172753,4516726
603.bwaves_s-2931B,18691,1016,414554,434638,1908549,1933655
603.bwaves_s-891B,0,0,1140302,1140318,3098860,3303613
605.mcf_s-1152B,113095,5934,1958865,2072192,1296628,1296655
605.mcf_s-1536B,69207,0,1584287,1653075,0,0
605.mcf_s-1554B,12084,550,9476002,9486551,169149,169150
605.mcf_s-1644B,51561,4851,1985133,2036741,2073533,2073533
605.mcf_s-472B,17695,622,2559451,2577265,852440,852440
605.mcf_s-484B,18973,154,1018463,1037926,344777,344777
605.mcf_s-665B,104519,3340,1222652,1327452,952532,952532
605.mcf_s-782B,224498,37821,6540170,6764497,4261769,4261775
605.mcf_s-994B,22917,5,1259009,1281554,306125,306125
607.cactuBSSN_s-2421B,220870,66,6866,227801,2493942,2532730
607.cactuBSSN_s-3477B,183124,1,769,183918,2296043,2334770
607.cactuBSSN_s-4004B,181232,0,760,182020,2286007,2320511
619.lbm_s-2676B,50989,14930,385645,436451,646790,646821
619.lbm_s-2677B,63356,20619,435665,498895,753380,753401
619.lbm_s-3766B,14381,677,239872,253954,358273,358273
619.lbm_s-4268B,64506,20590,435023,499461,757981,758005
620.omnetpp_s-141B,33617,1363,567762,601422,95222,95222
620.omnetpp_s-874B,42436,1050,575132,617630,85357,85357
621.wrf_s-6673B,56676,8950,889348,945044,4201270,4418234
621.wrf_s-8065B,28069,358,414959,443493,1968419,2157608
623.xalancbmk_s-10B,11768,680,1078895,1091404,40162,40162
623.xalancbmk_s-165B,1708,387,1005419,1007177,1715059,1718761
623.xalancbmk_s-202B,1921,4,1282661,1284664,1673334,1673356
628.pop2_s-17B,34214,1148,424532,458614,4082452,4216546
641.leela_s-1083B,600,0,1874,4728,103607,103607
649.fotonik3d_s-10881B,461,0,1157604,1158032,1707,1707
649.fotonik3d_s-1176B,2104,246,430129,431632,1597382,1597561
649.fotonik3d_s-7084B,921,133,856331,857242,3803342,4030167
649.fotonik3d_s-8225B,2254,284,438486,440504,1613219,1613256
654.roms_s-1007B,20805,2001,291873,313154,991063,1046193
654.roms_s-1070B,10561,4398,770469,781116,2642466,2770253
654.roms_s-1390B,76467,5436,1109715,1185826,3772827,3874060
654.roms_s-1613B,287,549,141044,142127,381876,381888
654.roms_s-293B,14174,270,278153,292527,1761276,1790253
654.roms_s-294B,33079,313,680244,713068,2982825,3169445
654.roms_s-523B,21215,2476,984409,1005609,2778873,2821733
657.xz_s-2302B,17731,10,188515,206351,6064,6064
