benchmark,early,late,useless,filled,issued,requested
BC_74350M,1279827,52962,639218,1918815,4274143,4274145
BellmanFord_94B,656633,3081,2527114,3183725,7108274,7108274
bf_94B,656630,3081,2526964,3183579,7108726,7108726
BFS_61B,1148666,22680,1806607,2955028,6772222,6775132
canneal_44B,45855,1555,1136780,1182630,2938066,2938066
Components_70B,608034,531,4972518,5580555,13183172,13185253
MIS_85B,748340,378,3490146,4238469,10193458,10193458
pr_1B,447571,675,5448546,5896172,13544566,13545850
Radii_100B,448511,2055,3669664,4118168,9819748,9819748
sssp-5,343493,68142,1837395,2180962,5531542,5531542
tc_70B,105823,637,1141780,1247603,3104320,3104320
