benchmark,early,late,useless,filled,issued,requested
BC_74350M,52859,2087,1869689,1925470,3598566,3598566
BellmanFord_94B,148686,488,2727228,2875986,1892577,1892583
bf_94B,148713,502,2726885,2875606,1892833,1892839
BFS_61B,177090,1620,2495190,2671178,3021614,3021614
canneal_44B,2281,3,1166670,1168922,74310,74310
Components_70B,326301,16,4344555,4671025,1536572,1536588
MIS_85B,290710,19,3006924,3297851,1867500,1867500
pr_1B,203778,107,5221121,5425272,1204742,1204762
Radii_100B,261877,4,3162778,3424805,1191454,1191461
sssp-5,46955,12252,1991669,2038174,883878,884040
tc_70B,40616,10,1081032,1121708,216454,216455
