benchmark,early,late,useless,filled,issued,requested
client_001,7437,885,119,7558,418323,418507
client_002,2305,344,113,2409,137342,137342
client_003,1222,225,36,1259,52060,52060
client_004,446,401,47,493,115641,115641
client_005,1722,1203,80,1806,158825,158831
client_006,15151,46043,956,16038,2003906,2017431
client_007,796,321,139,964,581974,581974
client_008,2620,1983,290,2936,628162,628162
server_001,39763,4005,1968,41747,983998,990629
server_003,4567,815,332,4898,322369,322381
server_004,4733,1544,517,5251,863092,863092
server_009,8193,1131,840,9040,811575,811579
server_010,9342,1093,934,10284,513857,513868
server_011,10578,1427,970,11537,526802,526815
server_012,9050,1015,847,9889,503722,503739
server_013,10198,1365,859,11053,528999,529011
server_014,1742,5803,8,1750,119630,120819
server_016,1485,2223,312,1795,395213,395213
server_017,107294,78601,2994,110288,2878143,2878217
server_018,106438,70061,3763,110189,2734625,2734739
server_019,109275,78824,2670,111956,3135344,3135420
server_020,107439,78169,2992,110427,2899866,2899989
server_021,112060,77190,2718,114773,3112717,3112835
server_022,112850,76953,2691,115533,3130110,3130271
server_023,2457,5568,664,3124,780181,780181
server_024,2246,3419,780,3036,804297,804300
server_025,1578,1572,141,1721,634432,634432
server_026,2374,5080,687,3067,695476,695476
server_027,2163,2503,210,2371,600037,600037
server_028,1181,4765,1157,2367,1854021,1854025
server_029,1871,2098,1189,3107,1911008,1911011
server_030,1020,6495,1314,2366,2012895,2012897
server_031,881,564,984,1886,1080667,1080667
server_032,1089,855,2388,3815,794894,794894
server_033,1083,235,521,1618,453276,453276
server_034,213,221,132,368,409806,409806
server_035,1629,663,480,2097,490047,490047
server_037,3672,900,393,4080,459190,459807
server_038,4084,1063,367,4466,487481,487806
