benchmark,early,late,useless,filled,issued,requested
client_001,7615,745,120,7738,417964,418181
client_002,2258,385,121,2370,135856,135856
client_003,1360,59,44,1404,52635,52635
client_004,852,22,56,908,114369,114369
client_005,1809,1160,92,1904,157183,157186
client_006,17203,46443,942,18084,2049590,2061913
client_007,809,328,141,978,584656,584656
client_008,2718,1901,269,3006,629446,629446
server_001,40565,3417,1946,42533,984642,992104
server_003,4693,833,311,5003,329712,329730
server_004,4879,1503,524,5402,843638,843639
server_009,8154,1131,816,8975,828839,828850
server_010,9125,1094,897,10029,528139,528152
server_011,10671,1426,980,11640,534526,534537
server_012,9145,1026,885,10023,507034,507050
server_013,10147,1339,935,11079,528632,528635
server_014,1796,5648,10,1806,121431,122677
server_016,1456,2208,327,1782,388101,388101
server_017,162930,23003,2974,165904,2878983,2879095
server_018,155338,21084,3761,159087,2733048,2733156
server_019,165120,23016,2675,167802,3134344,3134398
server_020,163307,22842,2957,166267,2911492,2911590
server_021,166094,22732,2672,168766,3113416,3113602
server_022,167172,22571,2708,169872,3108212,3108384
server_023,2446,5561,626,3074,791573,791573
server_024,2199,3403,763,2972,788518,788521
server_025,1562,1569,155,1724,617288,617288
server_026,2352,4961,686,3050,693179,693179
server_027,2152,2445,178,2329,600830,600830
server_028,1220,4763,1210,2457,1839921,1839924
server_029,1875,2147,1215,3137,1917269,1917272
server_030,1087,6491,1338,2454,2037011,2037012
server_031,864,480,982,1856,1071733,1071733
server_032,1168,872,2966,4373,804889,804889
server_033,1103,238,540,1649,457776,457776
server_034,223,211,135,378,411435,411435
server_035,1627,527,490,2099,491714,491714
server_037,3642,874,391,4053,455188,455738
server_038,4102,997,372,4497,487964,488318
