benchmark,early,late,useless,filled,issued,requested
BC_74350M,1128217,200422,637413,1765394,4261938,4261940
BellmanFord_94B,656274,3475,2527510,3183762,7105370,7105370
bf_94B,656239,3450,2527266,3183491,7106696,7106696
BFS_61B,1135857,35545,1803375,2938989,6764018,6767459
canneal_44B,43603,3816,1136630,1180229,2938461,2938461
Components_70B,608278,565,4971807,5580088,13179972,13182637
MIS_85B,748196,587,3489599,4237779,10192468,10192468
pr_1B,447711,759,5447036,5894799,13546406,13549353
Radii_100B,448658,2060,3669416,4118078,9819632,9819632
sssp-5,339419,72721,1837434,2176933,5531306,5531306
tc_70B,103770,2830,1141576,1245348,3103624,3103624
