benchmark,early,late,useless,filled,issued,requested
BC_74350M,49094,6753,1861885,1913867,2512211,2512211
BellmanFord_94B,148680,542,2727130,2875898,1890447,1890453
bf_94B,148566,537,2726726,2875303,1890153,1890159
BFS_61B,175507,3726,2494342,2668741,2978693,2978693
canneal_44B,2289,6,1166556,1168794,74426,74426
Components_70B,326757,17,4343262,4670184,1536818,1536823
MIS_85B,291015,19,3007130,3298352,1866891,1866891
pr_1B,203898,117,5219834,5424097,1205878,1205888
Radii_100B,262061,9,3162004,3424229,1191825,1191833
sssp-5,46057,14341,1993573,2039199,883537,883719
tc_70B,40640,12,1080767,1121471,216405,216406
