benchmarks,IPC
600.perlbench_s-570B,0.633971
602.gcc_s-1850B,0.323183
602.gcc_s-2226B,0.169116
602.gcc_s-734B,0.392664
603.bwaves_s-1740B,0.632123
603.bwaves_s-2609B,0.632261
603.bwaves_s-2931B,0.597165
603.bwaves_s-891B,0.345371
605.mcf_s-1152B,0.202277
605.mcf_s-1536B,0.180355
605.mcf_s-1554B,0.0529909
605.mcf_s-1644B,0.0664827
605.mcf_s-472B,0.127044
605.mcf_s-484B,0.237883
605.mcf_s-665B,0.221516
605.mcf_s-782B,0.0951155
605.mcf_s-994B,0.180086
607.cactuBSSN_s-2421B,0.838119
607.cactuBSSN_s-3477B,0.847907
607.cactuBSSN_s-4004B,0.869668
619.lbm_s-2676B,0.16064
619.lbm_s-2677B,0.13819
619.lbm_s-3766B,0.302115
619.lbm_s-4268B,0.138011
620.omnetpp_s-141B,0.194641
620.omnetpp_s-874B,0.207639
621.wrf_s-6673B,0.4032
621.wrf_s-8065B,0.752758
623.xalancbmk_s-10B,0.191733
623.xalancbmk_s-165B,0.528654
623.xalancbmk_s-202B,0.472213
628.pop2_s-17B,0.754209
641.leela_s-1083B,0.333284
649.fotonik3d_s-10881B,0.318207
649.fotonik3d_s-1176B,0.637648
649.fotonik3d_s-7084B,0.524226
649.fotonik3d_s-8225B,0.635917
654.roms_s-1007B,0.404086
654.roms_s-1070B,0.397214
654.roms_s-1390B,0.24287
654.roms_s-1613B,0.500189
654.roms_s-293B,0.837072
654.roms_s-294B,0.903862
654.roms_s-523B,0.346418
657.xz_s-2302B,0.499261
