benchmark,early,late,useless,filled,issued,requested
BC_74350M,1036860,288978,636637,1673262,4255837,4255838
BellmanFord_94B,656249,3600,2526935,3183162,7105890,7105890
bf_94B,655987,3612,2527474,3183446,7109254,7109254
BFS_61B,1124694,46257,1801995,2926448,6759482,6763862
canneal_44B,43446,3949,1136981,1180415,2939112,2939112
Components_70B,608046,619,4971424,5579473,13183230,13185894
MIS_85B,748076,756,3489737,4237796,10192546,10192546
pr_1B,447518,805,5447055,5894629,13550594,13553732
Radii_100B,448607,2180,3669841,4118445,9824830,9824830
sssp-5,336934,75887,1837484,2174497,5531853,5531853
tc_70B,102646,3873,1141542,1244188,3103574,3103574
