benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,1141,209,2553,3733,164192,164192
602.gcc_s-1850B,930905,146248,222101,1153010,7188264,7188282
602.gcc_s-2226B,951153,2465350,302298,1253491,9934250,9934520
602.gcc_s-734B,765528,2364,120515,886083,2463179,2463556
603.bwaves_s-1740B,818929,93628,2897,821804,22854947,42846312
603.bwaves_s-2609B,817681,94984,2822,820507,22720831,42791673
603.bwaves_s-2931B,408711,3007,1628,410300,2775390,3992475
603.bwaves_s-891B,791299,349067,24,791300,2376052,2376170
605.mcf_s-1152B,586594,198028,1807036,2393604,8800039,8805905
605.mcf_s-1536B,85639,6715,2563636,2649256,6559144,6559144
605.mcf_s-1554B,3223679,1877220,4281692,7505357,35461517,43160315
605.mcf_s-1644B,959158,218673,1093817,2052988,5269598,5269598
605.mcf_s-472B,678346,664355,1403644,2081986,13392515,13399247
605.mcf_s-484B,315298,219435,697897,1013076,12446455,12446649
605.mcf_s-665B,476209,95702,1379711,1855889,7520861,7524105
605.mcf_s-782B,1467146,871031,4848114,6315268,16639934,16662764
605.mcf_s-994B,208864,193454,1334340,1543283,7384763,7429763
607.cactuBSSN_s-2421B,2815,8,22923,25782,57756,57781
607.cactuBSSN_s-3477B,1869,1,4862,6733,13722,13722
607.cactuBSSN_s-4004B,2124,0,3725,5847,11706,11706
619.lbm_s-2676B,322726,59271,0,322721,1045617,1064643
619.lbm_s-2677B,362656,69930,0,362651,1208910,1233253
619.lbm_s-3766B,208652,26206,0,208646,562848,567858
619.lbm_s-4268B,362002,70664,0,361999,1210929,1235801
620.omnetpp_s-141B,100134,19727,670451,770546,4359591,4359591
620.omnetpp_s-874B,104378,20101,680503,784930,4499347,4499354
621.wrf_s-6673B,840432,127170,125108,965545,12484317,15338568
621.wrf_s-8065B,443021,29758,134367,577412,5828829,6469425
623.xalancbmk_s-10B,178980,87818,887798,1066917,3647591,3647608
623.xalancbmk_s-165B,752176,163803,92423,844602,3560830,3572409
623.xalancbmk_s-202B,1031560,179311,108189,1139741,3694658,3697409
628.pop2_s-17B,653272,30680,197465,850732,9900492,10558244
641.leela_s-1083B,54994,3700,38662,93574,2064880,2064901
649.fotonik3d_s-10881B,648496,46743,462877,1111336,5299416,5312383
649.fotonik3d_s-1176B,430836,212571,3162,433991,1322064,1322064
649.fotonik3d_s-7084B,767783,30039,57303,825056,10576085,12120929
649.fotonik3d_s-8225B,429960,213530,2954,432908,1321644,1321644
654.roms_s-1007B,225842,32440,15191,241033,3861684,4074906
654.roms_s-1070B,618531,77719,34014,652538,4101791,4780923
654.roms_s-1390B,908293,193855,64416,972697,5472650,7247603
654.roms_s-1613B,95390,31783,9092,104476,2527798,2528357
654.roms_s-293B,299217,18270,14415,313649,2628810,2810093
654.roms_s-294B,567430,26797,53828,621261,8792481,9714274
654.roms_s-523B,723500,156668,51933,775423,4348028,4953702
657.xz_s-2302B,43674,2293,333913,377584,2565269,2565269
