benchmark,early,late,useless,filled,issued,requested
client_001,7536,737,133,7672,413902,414148
client_002,2043,634,124,2159,137652,137652
client_003,1385,59,38,1423,52118,52118
client_004,852,18,51,903,116118,116118
client_005,1799,1152,85,1887,158265,158273
client_006,17349,48064,918,18200,2100515,2110013
client_007,847,277,144,1021,580203,580203
client_008,3460,1325,278,3760,628530,628530
server_001,40334,3311,2000,42347,984749,991421
server_003,4583,849,340,4922,323848,323869
server_004,4932,1383,529,5462,889442,889444
server_009,8245,1085,847,9098,816792,816798
server_010,9134,1056,880,10021,526625,526637
server_011,10530,1422,930,11452,531545,531564
server_012,8986,1002,892,9869,499232,499259
server_013,10121,1332,839,10956,533900,533906
server_014,1712,5439,11,1723,120884,122217
server_016,1224,2057,349,1571,394692,394692
server_017,174724,11156,3094,177818,2858760,2858836
server_018,166929,10259,3597,170516,2758794,2758889
server_019,176780,11398,2730,179515,3119278,3119352
server_020,174721,11006,2924,177645,2916664,2916754
server_021,178194,11003,2686,180881,3105772,3105911
server_022,178808,10985,2757,181557,3113902,3114004
server_023,2184,5118,637,2822,789097,789097
server_024,1909,3027,768,2687,794183,794183
server_025,1231,1424,143,1383,618446,618446
server_026,2168,4646,740,2917,694301,694301
server_027,1880,2086,182,2061,602311,602311
server_028,1336,4558,1133,2500,1869253,1869253
server_029,1990,2050,1213,3252,1917214,1917216
server_030,1188,6358,1366,2588,2002694,2002698
server_031,1058,424,1008,2075,1062849,1062849
server_032,1204,816,3094,4638,793928,793928
server_033,1116,244,507,1632,458140,458140
server_034,244,208,137,409,406745,406745
server_035,1743,535,495,2222,491130,491130
server_037,3731,844,415,4160,446019,446475
server_038,4215,917,387,4618,474282,474621
