benchmark,early,late,useless,filled,issued,requested
client_001,114863,11111,371852,486498,2330114,2330899
client_002,31576,1331,30751,62353,624112,624112
client_003,21256,2198,50242,71522,746962,746962
client_004,64211,4450,111100,175449,1601907,1601916
client_005,37353,3485,68511,105804,795923,795923
client_006,177802,106978,163710,341425,1622415,1622536
client_007,165342,12454,329781,495250,2644231,2644505
client_008,41755,5087,272886,314623,1607972,1607972
server_001,100668,7554,47148,147868,913450,913456
server_003,88559,7869,185400,274144,1604928,1605104
server_004,158575,46542,1486899,1645364,6158574,6158904
server_009,81873,22830,672910,755035,2851908,2852078
server_010,29123,6273,68940,98096,476882,476920
server_011,31813,6821,71254,103121,512717,512945
server_012,28634,6050,70168,98771,479235,479378
server_013,28166,6862,68498,96739,472670,472870
server_014,4213,5457,4363,8439,999410,999478
server_016,29187,25438,50739,79949,8010503,8011964
server_017,261524,59101,104060,365585,1522079,1523797
server_018,265855,47039,300565,566294,2084387,2106709
server_019,264545,60769,100358,364932,1535873,1538054
server_020,301555,29643,377305,678921,2592801,2654676
server_021,306677,30921,293253,599970,2415766,2485269
server_022,268959,60757,96809,365772,1540703,1542520
server_023,61682,55751,108693,170336,1270642,1270646
server_024,60282,55505,109070,169325,1276462,1276471
server_025,43247,21044,104638,147872,1046320,1046320
server_026,55308,41898,103751,159065,1124148,1124148
server_027,44386,22432,103623,147994,1067210,1067210
server_028,253096,52443,264222,517291,1809293,1809313
server_029,256003,55210,259915,516000,1803714,1803716
server_030,277941,57501,222311,500224,1786530,1786530
server_031,56833,53298,133884,190713,966986,966988
server_032,22752,7902,112773,135536,727550,727550
server_033,23142,1555,153852,177032,734376,734406
server_034,21746,1190,145171,166853,714423,714468
server_035,25667,2241,161829,187489,739062,739463
server_037,17229,763,37967,55185,416725,416817
server_038,15779,999,38035,53812,414135,414154
