benchmark,early,late,useless,filled,issued,requested
client_001,29189,1371,142502,169630,140564,140564
client_002,6834,225,39822,45266,121136,121136
client_003,10158,276,35802,46030,65471,65471
client_004,18965,881,57597,75713,166771,166771
client_005,13853,793,78822,92873,131845,131845
client_006,24913,7373,225924,251670,577286,579458
client_007,16707,561,71530,89713,515889,515889
client_008,42914,4261,134278,177772,869483,869483
server_001,47504,4705,128925,175703,341078,341078
server_003,52310,3190,158828,211237,328653,328653
server_004,55414,4344,179467,234902,343179,343179
server_009,69177,5507,200312,270286,424255,424255
server_010,75263,6479,219921,295091,457970,457970
server_011,77026,6128,230487,307495,466675,466696
server_012,73165,6085,214208,287327,454246,454246
server_013,78396,6532,228306,306661,463745,463745
server_014,1281,2114,15164,14489,22498,22510
server_016,11847,1213,62361,74196,248987,248987
server_017,55710,3011,426164,481872,677744,677747
server_018,56035,2923,556580,611911,530116,530117
server_019,54718,3031,421243,476030,685198,685198
server_020,63754,3482,568324,632257,395218,395220
server_021,60790,3311,503405,564622,373629,373629
server_022,54753,3083,420705,475483,684283,684283
server_023,23876,2618,129767,153748,544007,544007
server_024,26218,2359,128422,154681,533750,533750
server_025,24608,2160,126015,150614,613336,613336
server_026,31745,2477,131287,163089,603859,603859
server_027,25787,3446,114992,140710,601572,601572
server_028,29101,5246,245584,274746,1019450,1019450
server_029,30660,5512,233176,264022,1027018,1027018
server_030,28812,3169,209710,238892,1049619,1049619
server_031,19373,4021,124535,143567,724774,724774
server_032,10149,1631,79084,89062,720135,720135
server_033,49896,1594,80321,130506,550361,550361
server_034,19507,586,41815,61105,554246,554246
server_035,50386,4315,77147,127420,553599,553599
server_037,33372,670,61302,94603,305571,305572
server_038,35763,596,61473,97231,316315,316315
