benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,172,3,901,3172,1828,1828
602.gcc_s-1850B,7326,51,904516,911848,4250352,4250509
602.gcc_s-2226B,12153,436,3629982,3642136,5063572,5063630
602.gcc_s-734B,5277,39,455819,461676,4001759,4004685
603.bwaves_s-1740B,26367,1049,879304,905482,4528704,4893999
603.bwaves_s-2609B,26463,1037,879347,905593,4525996,4892924
603.bwaves_s-2931B,16426,4,419248,437131,2567325,2621231
603.bwaves_s-891B,0,0,1140304,1140320,4643143,5587675
605.mcf_s-1152B,114478,4469,1959283,2074012,1337463,1337507
605.mcf_s-1536B,70527,0,1561247,1631300,0,0
605.mcf_s-1554B,11714,302,9919729,9930184,174047,174047
605.mcf_s-1644B,54272,2761,1986509,2040824,2282548,2282548
605.mcf_s-472B,17215,274,2585729,2603086,889119,889119
605.mcf_s-484B,18973,109,1024276,1043806,354912,354912
605.mcf_s-665B,105161,2704,1222888,1328324,974159,974159
605.mcf_s-782B,234714,30853,6539385,6773957,4350338,4350362
605.mcf_s-994B,23033,5,1259250,1281890,306001,306001
607.cactuBSSN_s-2421B,221762,53,4205,226038,2506202,2536055
607.cactuBSSN_s-3477B,183358,1,776,184162,2296281,2334944
607.cactuBSSN_s-4004B,181284,0,765,182076,2286114,2320611
619.lbm_s-2676B,71318,11871,372113,443075,740661,740668
619.lbm_s-2677B,92809,17652,411378,504023,863279,863289
619.lbm_s-3766B,1734,273,259282,260865,428725,428725
619.lbm_s-4268B,93939,17249,410715,504605,860047,860061
620.omnetpp_s-141B,34048,835,567403,601484,95218,95218
620.omnetpp_s-874B,42681,712,575528,618280,85380,85380
621.wrf_s-6673B,48431,5483,901632,949193,4759328,4976234
621.wrf_s-8065B,25577,138,419321,445358,2064603,2257740
623.xalancbmk_s-10B,11955,487,1077096,1089775,40161,40161
623.xalancbmk_s-165B,1957,117,1005401,1007399,2066741,2082250
623.xalancbmk_s-202B,1917,0,1282696,1284710,2145772,2145801
628.pop2_s-17B,34412,903,445828,480150,4234107,4346311
641.leela_s-1083B,614,1,1879,4741,104982,104982
649.fotonik3d_s-10881B,460,0,1159031,1159467,1694,1694
649.fotonik3d_s-1176B,2319,11,430236,431955,3276693,3276871
649.fotonik3d_s-7084B,557,11,856893,857450,4426787,4443768
649.fotonik3d_s-8225B,2536,14,438706,441001,3274078,3274115
654.roms_s-1007B,411,198,317510,318390,1318959,1335369
654.roms_s-1070B,5489,1294,780597,786186,3259896,3393103
654.roms_s-1390B,28605,1284,1171166,1199418,4771427,4907166
654.roms_s-1613B,197,158,142031,143050,522844,522885
654.roms_s-293B,989,35,291245,293295,1916594,1942257
654.roms_s-294B,33319,67,680576,713633,3056053,3247103
654.roms_s-523B,1265,469,1017416,1018725,4284021,4312137
657.xz_s-2302B,17736,9,188701,206538,7533,7533
