Benchmarks,IPC
600.perlbench_s-570B,0.633066
602.gcc_s-1850B,0.201471
602.gcc_s-2226B,0.0975174
602.gcc_s-734B,0.311643
603.bwaves_s-1740B,0.580759
603.bwaves_s-2609B,0.582677
603.bwaves_s-2931B,0.760934
603.bwaves_s-891B,0.383534
605.mcf_s-1152B,0.225124
605.mcf_s-1536B,0.270753
605.mcf_s-1554B,0.133511
605.mcf_s-1644B,0.130707
605.mcf_s-472B,0.214741
605.mcf_s-484B,0.278403
605.mcf_s-665B,0.239157
605.mcf_s-782B,0.143272
605.mcf_s-994B,0.201779
607.cactuBSSN_s-2421B,0.833722
607.cactuBSSN_s-3477B,0.838287
607.cactuBSSN_s-4004B,0.857151
619.lbm_s-2676B,0.404417
619.lbm_s-2677B,0.354792
619.lbm_s-3766B,0.687593
619.lbm_s-4268B,0.353918
620.omnetpp_s-141B,0.201306
620.omnetpp_s-874B,0.214766
621.wrf_s-6673B,0.47689
621.wrf_s-8065B,0.83197
623.xalancbmk_s-10B,0.231625
623.xalancbmk_s-165B,0.39679
623.xalancbmk_s-202B,0.318899
628.pop2_s-17B,0.736471
641.leela_s-1083B,0.332014
649.fotonik3d_s-10881B,0.463437
649.fotonik3d_s-1176B,0.584229
649.fotonik3d_s-7084B,0.576182
649.fotonik3d_s-8225B,0.58205
654.roms_s-1007B,0.433615
654.roms_s-1070B,0.455625
654.roms_s-1390B,0.32696
654.roms_s-1613B,0.487105
654.roms_s-293B,0.868382
654.roms_s-294B,0.739312
654.roms_s-523B,0.423399
657.xz_s-2302B,0.509412
