benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,170,5,901,3170,1828,1828
602.gcc_s-1850B,7064,273,904226,911297,4145414,4145548
602.gcc_s-2226B,9991,2589,3625490,3635481,4491385,4491566
602.gcc_s-734B,5262,60,456184,462011,4000392,4003158
603.bwaves_s-1740B,26623,1285,878732,905143,4490490,4845340
603.bwaves_s-2609B,26511,1267,878932,905229,4494372,4850634
603.bwaves_s-2931B,9096,300,426174,436762,2142428,2183443
603.bwaves_s-891B,0,0,1140312,1140328,3596793,3908524
605.mcf_s-1152B,113962,5163,1958851,2073041,1321391,1321426
605.mcf_s-1536B,70104,0,1568150,1637788,0,0
605.mcf_s-1554B,12234,527,9541851,9552549,171991,171991
605.mcf_s-1644B,52499,4162,1986153,2038697,2129884,2129884
605.mcf_s-472B,17721,533,2556437,2574260,862676,862676
605.mcf_s-484B,18946,149,1017907,1037531,347853,347853
605.mcf_s-665B,104772,3039,1223023,1328088,963681,963681
605.mcf_s-782B,229169,34394,6540833,6769858,4304824,4304830
605.mcf_s-994B,23001,5,1259459,1282079,306206,306206
607.cactuBSSN_s-2421B,221440,64,6869,228375,2497023,2532703
607.cactuBSSN_s-3477B,183105,1,784,183916,2296338,2335011
607.cactuBSSN_s-4004B,181266,0,763,182057,2286044,2320562
619.lbm_s-2676B,49681,13069,388765,438236,652311,652314
619.lbm_s-2677B,63394,18791,437455,500775,761256,761262
619.lbm_s-3766B,12250,491,242759,254757,367609,367609
619.lbm_s-4268B,63695,18592,437090,500787,761843,761856
620.omnetpp_s-141B,33665,1301,567488,601190,95269,95269
620.omnetpp_s-874B,42285,1035,575489,617830,85296,85296
621.wrf_s-6673B,53978,7890,893371,946442,4437574,4653933
621.wrf_s-8065B,26669,204,417015,444142,2019958,2210300
623.xalancbmk_s-10B,11733,688,1078737,1091214,40157,40157
623.xalancbmk_s-165B,1788,268,1005622,1007449,1900642,1909901
623.xalancbmk_s-202B,1918,1,1282776,1284779,1926235,1926253
628.pop2_s-17B,34071,1063,436066,470041,4151601,4276139
641.leela_s-1083B,605,0,1882,4733,104191,104191
649.fotonik3d_s-10881B,471,0,1158863,1159308,1638,1638
649.fotonik3d_s-1176B,2316,10,430222,431938,3107987,3108166
649.fotonik3d_s-7084B,602,31,856797,857400,4233801,4309073
649.fotonik3d_s-8225B,2523,15,438612,440893,3079151,3079188
654.roms_s-1007B,16418,1413,297573,314438,1018220,1068534
654.roms_s-1070B,8691,3428,774608,783398,3070888,3192657
654.roms_s-1390B,68467,4000,1120846,1188963,3928059,4018469
654.roms_s-1613B,256,421,141291,142341,409931,409938
654.roms_s-293B,6063,177,286077,292900,1816979,1844990
654.roms_s-294B,32988,106,680427,713179,3023470,3213561
654.roms_s-523B,16911,1792,991413,1008369,3076807,3114423
657.xz_s-2302B,17698,8,188467,206278,6034,6034
