benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,1256,91,2549,3844,164200,164200
602.gcc_s-1850B,1030731,47583,222546,1253275,7210916,7210931
602.gcc_s-2226B,1606305,1810087,306967,1913306,9946804,9946949
602.gcc_s-734B,767333,575,120580,887959,2465231,2465340
603.bwaves_s-1740B,922390,4151,4253,926629,34648407,49362186
603.bwaves_s-2609B,922575,4138,4084,926663,34743996,49432872
603.bwaves_s-2931B,461523,605,2104,463614,4528992,4870883
603.bwaves_s-891B,1110499,29803,28,1110510,2376974,2376974
605.mcf_s-1152B,645691,139559,1810957,2456623,8812099,8812292
605.mcf_s-1536B,94371,10400,2408099,2502432,6242902,6242902
605.mcf_s-1554B,3385662,1844502,4318235,7703879,36079357,43320505
605.mcf_s-1644B,1046177,132544,1097886,2144064,5281294,5281294
605.mcf_s-472B,684031,668300,1404453,2088487,13412838,13419909
605.mcf_s-484B,318031,220727,698324,1016228,12457158,12457375
605.mcf_s-665B,498767,73074,1382932,1881666,7528273,7528274
605.mcf_s-782B,1583989,755658,4864002,6447992,16688328,16688486
605.mcf_s-994B,215962,195369,1351182,1567227,7485316,7485316
607.cactuBSSN_s-2421B,3002,3,23328,26381,58864,58864
607.cactuBSSN_s-3477B,1852,0,4934,6788,13832,13832
607.cactuBSSN_s-4004B,2102,1,3727,5827,11670,11670
619.lbm_s-2676B,336219,52342,0,336213,1050130,1066299
619.lbm_s-2677B,374347,63039,0,374345,1215437,1237424
619.lbm_s-3766B,221536,20977,0,221530,564612,567756
619.lbm_s-4268B,374874,62215,0,374875,1216605,1238664
620.omnetpp_s-141B,105817,14164,671574,777356,4360715,4360716
620.omnetpp_s-874B,108993,16013,681366,790407,4499637,4499640
621.wrf_s-6673B,931511,53826,129467,1060981,13571481,15811013
621.wrf_s-8065B,476042,8485,140676,616742,5907217,6507227
623.xalancbmk_s-10B,178202,87997,888058,1066402,3647446,3647457
623.xalancbmk_s-165B,884378,32550,92660,977045,3584872,3587462
623.xalancbmk_s-202B,1168815,42213,108158,1276971,3689738,3692351
628.pop2_s-17B,679311,8176,210246,889559,10058402,10637271
641.leela_s-1083B,56222,2518,38660,94800,2066669,2066669
649.fotonik3d_s-10881B,677871,21656,467243,1145091,5335836,5338114
649.fotonik3d_s-1176B,636768,7045,3126,639892,1320084,1320084
649.fotonik3d_s-7084B,801847,2583,57611,859430,12834540,13165396
649.fotonik3d_s-8225B,636096,7760,2981,639077,1319838,1319838
654.roms_s-1007B,248214,21699,15776,263992,3973383,4129561
654.roms_s-1070B,684028,27481,34962,718985,5016788,5237411
654.roms_s-1390B,1002958,126118,66788,1069752,6047023,7519148
654.roms_s-1613B,111759,15631,9060,120806,2561131,2561721
654.roms_s-293B,358373,2577,12998,371388,2906795,2948048
654.roms_s-294B,598441,1186,55400,653856,9089552,9842818
654.roms_s-523B,833268,64454,53303,886568,4663198,5064149
657.xz_s-2302B,45188,837,333530,378718,2564024,2564024
